ID,Fname,Lname,birthday,gender,nationality,experience,matches,wins,losses,awards,position,height,weight,shirtNumber,CoachID
1911,Godiva,Messenger,20/09/1962,Female,ID,25,168,192,55,1,PG,209,76,33,5327
1912,Seana,Chell,10/11/1989,Female,ID,6,87,398,185,4,C,199,70,19,3359
1913,Parker,Girodias,11/11/1961,Male,CN,18,211,124,84,7,SF,185,66,14,14037
1914,Lucilia,Idney,25/12/1966,Female,HN,9,206,118,105,9,C,188,62,39,14919
1915,Genvieve,Jurasek,15/12/1970,Female,CN,5,295,175,211,10,C,192,62,30,18663
1916,Ivan,Willgoss,24/09/1985,Male,BR,18,810,463,150,7,C,185,82,20,1748
1917,Dimitri,Lyste,04/09/1982,Male,SI,20,152,135,278,4,PG,195,60,28,16299
1918,Aluino,Little,11/09/1979,Male,PY,30,867,156,468,8,PG,199,68,38,758
1919,Jack,Morrid,31/12/1961,Male,BR,37,840,335,19,1,PF,208,65,21,9100
1920,Nikki,Watman,11/09/1968,Male,CO,30,767,397,222,6,C,201,78,6,19445
1921,Silvain,Middlemass,12/03/1960,Male,BW,22,510,167,351,5,PF,195,81,8,8334
1922,Enrico,Benjefield,12/05/1984,Male,BR,19,336,82,188,7,PF,192,73,23,9858
1923,Arron,Dolton,24/08/1971,Male,AZ,26,298,496,228,10,SF,206,87,34,9585
1924,Dareen,Ciccerale,27/07/1982,Female,UA,32,536,91,394,8,PF,186,73,23,8107
1925,Lisbeth,Stiggles,26/09/1980,Female,ID,8,518,52,374,7,PF,185,69,33,8352
1926,Darla,Leynton,22/02/1964,Genderfluid,SE,7,240,427,86,8,C,186,64,9,14532
1927,Mathe,Dobrowolny,14/11/1961,Male,HR,34,972,248,490,3,C,190,61,35,5540
1928,Michel,Soan,27/05/1989,Female,CN,32,868,489,326,9,PG,205,85,13,19758
1929,Van,Oxby,14/09/1989,Male,GT,36,44,183,26,1,SF,187,65,10,6150
1930,Carmelia,Rhelton,26/01/1969,Female,BR,29,701,22,231,10,C,193,83,38,12139
1931,Rowen,Titta,23/01/1970,Male,PH,33,395,363,96,6,SG,207,89,10,9398
1932,Marmaduke,Jelk,21/01/1988,Non-binary,PE,6,34,296,344,4,SG,196,68,15,1178
1933,Cello,Scudamore,21/03/1963,Male,CN,13,97,384,324,5,SG,185,89,40,15436
1934,Andonis,Blakeney,26/04/1988,Male,ID,32,433,118,349,1,PF,190,90,17,7224
1935,Nye,Pettifer,21/11/1969,Male,TH,11,100,303,195,6,SF,201,82,28,826
1936,Bogey,Roffey,22/03/1961,Male,CN,25,37,209,352,6,SG,189,69,2,5939
1937,Fern,Yashin,23/12/1980,Female,MX,16,287,212,106,5,PF,206,75,19,5235
1938,Bogey,MacBarron,22/01/1972,Male,MT,10,509,24,73,2,C,196,76,35,16038
1939,Zacharias,Farnell,11/03/1973,Male,JP,18,608,387,324,9,SG,188,67,22,14991
1940,Dennis,Brigman,01/07/1978,Male,AR,6,942,315,400,1,SF,203,64,14,10363
1941,Margaret,Magnar,07/03/1969,Female,CA,9,412,49,412,2,SG,197,82,26,138
1942,Juieta,Winteringham,17/09/1983,Female,RU,33,900,344,444,5,PG,207,71,22,14741
1943,Roz,Carde,02/08/1989,Non-binary,AR,29,90,107,315,8,C,192,70,15,5310
1944,Loleta,Nys,26/01/1982,Female,PL,18,885,276,80,6,SG,191,70,3,7346
1945,Arabel,Hutcheon,27/08/1974,Female,AR,20,53,419,261,10,PG,209,87,31,2955
1946,Debbi,Shyre,07/02/1983,Genderqueer,PH,12,49,492,320,10,SG,195,75,37,11501
1947,Josephina,Veitch,29/05/1961,Female,PL,40,156,173,348,10,PF,206,74,35,5534
1948,Annalise,Jankiewicz,30/03/1988,Female,CN,10,688,110,11,5,PG,191,79,19,5844
1949,Millard,Pinney,05/12/1966,Male,CN,39,774,223,49,3,PF,191,72,36,15812
1950,Renault,Ellice,29/07/1960,Male,CN,10,689,393,58,5,SG,189,65,8,2528
1951,Carlie,Kastel,09/04/1961,Female,CA,4,836,456,247,5,C,209,72,36,7211
1952,Tan,Probate,02/04/1988,Male,MX,9,447,290,18,6,PG,209,71,30,15035
1953,Sloane,Woollhead,05/05/1967,Male,CN,37,869,140,21,10,SF,190,60,26,13539
1954,Aurelie,Boteman,18/10/1978,Female,TH,33,872,351,127,5,C,209,74,34,8386
1955,Dorthea,Eveling,07/07/1978,Female,RU,10,442,31,447,5,SF,189,76,2,17585
1956,Maribelle,Doiley,06/05/1961,Female,CN,27,492,418,46,1,PG,203,89,6,6409
1957,Sydney,Hadigate,18/02/1967,Female,CN,36,642,383,185,3,PG,195,84,14,8538
1958,Edith,Fiddeman,10/10/1979,Female,IR,33,969,129,299,3,SG,199,73,26,10529
1959,Scotti,Wickwar,13/07/1975,Male,CN,36,821,363,160,9,SF,205,64,36,9506
1960,Beilul,Di Antonio,03/07/1973,Female,CN,5,424,322,198,1,PG,194,78,18,15157
1961,Karolina,Titcumb,10/01/1980,Agender,CN,2,741,197,428,3,SG,197,87,13,14344
1962,Jackie,Kohlerman,14/06/1981,Female,ID,17,661,196,362,2,PG,191,73,40,11802
1963,Angel,Trime,12/02/1967,Male,PE,39,666,5,16,5,SF,193,69,1,15322
1964,Lind,Clouston,28/06/1985,Male,CN,10,916,403,96,10,C,195,73,12,5594
1965,Humphrey,Frentz,14/10/1982,Male,CN,30,824,376,55,4,PG,204,69,40,1453
1966,Dorian,Harbord,03/01/1983,Female,CN,3,868,226,484,8,SF,208,90,29,8631
1967,Gunter,Preddle,29/01/1975,Male,SE,1,844,322,289,4,PG,207,74,15,5727
1968,Loralee,Robet,05/11/1973,Genderqueer,LK,19,359,101,102,1,SF,187,67,26,1990
1969,Louie,Blues,13/10/1973,Male,PT,38,156,282,15,10,PF,209,62,3,17064
1970,Brook,Schroeder,19/03/1970,Female,CN,24,1,197,203,7,SG,200,61,32,15771
1971,Hillary,Rosoman,24/09/1985,Male,MX,25,996,85,335,9,PG,190,60,30,967
1972,Gale,Wyldish,27/02/1980,Bigender,BR,15,368,257,305,3,PG,188,90,28,10993
1973,Hyatt,Sumpner,19/12/1966,Male,ID,27,520,483,156,4,PG,204,71,4,18065
1974,Reinhold,Wyllt,21/06/1968,Male,FR,16,546,41,76,2,SG,205,64,31,8210
1975,Hamilton,Calver,13/04/1971,Male,CN,32,63,149,251,6,PF,208,68,17,3366
1976,Vernon,Franseco,01/06/1961,Male,CN,34,963,363,120,4,SG,188,84,19,13213
1977,Grady,Crombie,08/07/1976,Male,CL,13,384,37,309,8,SG,197,78,39,18966
1978,Germayne,Brice,27/03/1977,Male,IE,39,217,307,117,1,SG,185,71,32,10013
1979,Nickolas,Robardley,31/01/1960,Male,PL,11,758,206,483,7,SG,196,66,1,14765
1980,Gifford,Essberger,11/08/1977,Male,PH,31,80,396,483,2,PG,190,76,4,5189
1981,Zuzana,Ruppert,21/03/1987,Female,RU,31,921,372,277,8,PG,196,70,36,18311
1982,Vittoria,Folkes,12/01/1962,Female,BA,8,288,117,181,3,PG,196,66,3,14804
1983,Leopold,Youthead,02/09/1962,Male,ID,33,180,316,407,6,SF,191,72,35,18431
1984,Briana,Roussel,10/10/1987,Female,BR,32,805,297,340,4,PG,197,88,4,14777
1985,Ed,Blaxton,30/09/1960,Male,CN,19,282,136,345,7,SF,193,63,11,8322
1986,Waverley,Smorthwaite,28/04/1967,Male,AR,12,872,211,451,9,SF,185,70,27,1687
1987,Tedra,Gilbride,11/07/1961,Female,ID,8,662,143,322,9,PF,205,64,24,3077
1988,Chelsy,Baud,21/11/1984,Female,CZ,23,301,343,281,2,PG,194,88,2,6360
1989,Tommi,O'Crevan,17/10/1987,Female,AE,2,7,73,118,2,SF,199,79,36,2902
1990,Dulsea,Inkles,21/10/1973,Female,RU,40,587,447,132,6,C,195,60,38,2658
1991,Gerome,Pithcock,14/08/1989,Male,CZ,26,619,399,42,2,PG,189,63,23,4590
1992,Odie,Madden,23/07/1974,Male,US,22,290,163,334,9,SF,198,74,34,2468
1993,Brina,Dugald,13/06/1962,Female,ID,4,531,473,110,6,PG,192,66,15,15077
1994,Leah,Stormouth,15/10/1976,Genderqueer,CN,17,197,51,179,1,PF,189,61,10,544
1995,Devin,Bertholin,10/08/1973,Male,US,8,162,131,315,9,C,197,88,16,13319
1996,Cornie,Lorroway,03/04/1988,Female,BR,36,722,331,496,8,SG,199,80,27,14356
1997,Anatollo,Haywood,16/01/1986,Male,AR,37,732,217,239,5,PF,199,83,36,6975
1998,Issi,Morsey,07/08/1961,Female,GT,28,957,227,360,3,PF,194,64,7,4740
1999,Anson,Truckell,16/10/1963,Male,IR,15,502,190,271,7,SG,204,89,9,14760
2000,Bobbette,Padley,25/04/1978,Genderqueer,IL,5,127,250,245,5,C,210,80,29,12049
2001,Siffre,Furness,08/06/1968,Male,TH,29,552,66,206,9,SF,204,77,24,13880
2002,Elvina,Scobie,27/10/1987,Female,NO,32,369,26,245,9,SF,189,60,19,7922
2003,Florella,Janew,31/05/1989,Female,PH,8,646,410,124,8,SG,200,85,25,5853
2004,Axel,Brownsmith,08/05/1979,Male,PT,38,124,48,497,2,C,189,77,2,1481
2005,Pollyanna,Duiged,12/11/1971,Female,IE,7,70,405,233,4,SF,194,75,1,14009
2006,Kerby,Secret,25/12/1967,Male,SI,37,826,408,24,4,SG,186,74,17,16101
2007,Viviana,Bristow,24/03/1970,Genderfluid,ID,5,274,389,427,7,PF,207,61,16,15458
2008,Bruce,Bransom,24/05/1966,Male,KR,24,587,334,315,1,SF,208,86,23,843
2009,Haydon,Reyna,15/06/1961,Male,CU,29,758,149,253,9,PF,190,74,18,17808
2010,Claiborne,Kennham,07/02/1965,Male,PT,9,363,226,193,7,SG,189,70,2,13542
2011,Armando,Hallgalley,13/02/1967,Male,VN,21,425,7,73,1,C,208,82,17,12329
2012,Shanna,Spring,22/01/1962,Female,NA,16,203,368,384,9,PG,190,67,16,7045
2013,Nessa,Tutton,05/07/1985,Female,CI,20,183,455,47,10,PF,201,72,37,11428
2014,Micheal,Rudsdale,18/08/1979,Male,KZ,7,592,288,141,4,PG,206,69,5,17669
2015,Alexandrina,Crass,07/06/1987,Bigender,SE,21,897,491,334,2,SF,205,61,39,1607
2016,Ricardo,Stickland,27/12/1965,Male,TH,7,654,311,146,1,SG,201,79,2,12430
2017,Kassi,Dulany,11/11/1989,Female,KR,37,696,341,289,3,C,203,78,6,16222
2018,Rhonda,Prosch,03/10/1987,Female,GR,30,678,289,228,2,C,208,82,7,17656
2019,Zahara,Gauchier,30/08/1989,Female,PH,28,836,346,104,5,PG,199,74,12,14657
2020,Neda,Clancy,11/01/1963,Female,RU,8,269,295,169,4,SG,191,88,30,19238
2021,Elmira,Thyng,06/12/1971,Female,TH,40,249,189,200,2,SF,201,74,11,2157
2022,Jessey,Rapps,10/07/1965,Male,CO,39,1000,485,66,10,C,189,79,36,5492
2023,Rafaela,Iwaszkiewicz,17/07/1969,Female,VE,14,356,290,470,3,SG,198,75,3,5943
2024,Phillida,Antyukhin,25/05/1980,Female,AZ,23,581,15,403,8,PF,199,72,10,8325
2025,Kyle,Jonuzi,01/09/1980,Male,BR,10,521,292,133,2,PG,209,81,27,12074
2026,Zachary,Ciccone,10/03/1983,Non-binary,ID,35,691,389,369,7,PF,199,79,23,17904
2027,Pat,Ghilks,06/08/1975,Male,RU,20,498,477,269,9,SG,205,86,4,5307
2028,Nerta,Kirtlan,20/12/1969,Female,CN,30,966,380,30,3,SG,200,87,12,9296
2029,Ingaberg,Hempshall,13/03/1982,Female,AZ,7,912,154,220,2,SF,188,84,30,17820
2030,Tanner,Renvoys,20/11/1987,Male,ID,37,210,250,443,6,SG,203,80,14,12139
2031,Daryle,Barnby,01/06/1961,Male,CL,27,92,86,4,9,SG,194,89,3,10354
2032,Jedd,Petrulis,07/02/1966,Agender,MX,38,612,466,457,9,PG,204,67,16,8284
2033,Emmet,Rodder,26/11/1963,Male,BR,12,916,276,347,4,PF,199,85,16,17360
2034,Eadmund,Robelin,04/02/1976,Male,CN,36,795,398,117,5,PG,210,81,22,3365
2035,Malinda,Schiesterl,29/07/1975,Female,PH,35,527,473,42,9,PG,205,63,22,11335
2036,Jeannette,Letertre,19/04/1972,Female,MA,4,397,230,85,6,SF,195,66,1,14113
2037,Smith,Woodington,23/06/1982,Male,CZ,9,762,210,73,8,SF,187,88,25,278
2038,Nerta,Allmen,09/12/1981,Female,VE,26,596,84,216,8,SG,189,73,3,3040
2039,Sheela,Harrinson,14/12/1977,Female,UG,32,727,483,344,6,SF,203,64,16,15634
2040,Loria,Cawston,09/08/1980,Female,ID,40,175,298,245,4,PG,189,64,13,14327
2041,Baudoin,Lockless,06/07/1977,Male,BR,30,537,205,381,4,SG,199,72,35,17507
2042,Tedd,Damp,01/01/1988,Male,PH,28,771,475,113,6,SG,199,67,25,18482
2043,Alexina,Westney,14/03/1984,Female,CN,20,545,444,202,6,PF,202,73,31,6882
2044,Steffi,Maynard,31/12/1974,Female,CZ,22,499,80,438,9,C,195,75,25,3170
2045,Devlin,Regnard,30/09/1962,Male,ID,29,159,86,50,3,C,194,74,16,9662
2046,Leon,Heitz,13/01/1975,Male,ID,12,101,299,454,10,SF,201,61,16,18612
2047,Nannette,Norville,14/03/1968,Female,PL,2,754,299,321,1,C,203,79,39,12829
2048,Perkin,Winram,26/10/1961,Male,RU,24,699,18,32,2,SF,208,83,34,16476
2049,Caitlin,Peniman,22/11/1974,Female,LT,9,193,473,349,4,PF,185,88,22,8808
2050,Hillard,McIlwraith,10/11/1970,Polygender,UA,2,165,403,30,9,C,193,70,9,13558
2051,Prue,McCullough,13/03/1978,Female,HR,19,595,274,277,2,SG,186,90,37,17755
2052,Chery,Rickertsen,14/06/1972,Female,CN,13,744,331,256,2,SF,188,65,23,14674
2053,Corny,Bromont,11/05/1978,Male,ID,39,83,289,222,1,PF,187,66,6,11847
2054,Andrus,Gowthorpe,03/08/1983,Male,PE,17,899,302,216,7,PF,198,65,33,6986
2055,Josee,Largent,04/06/1966,Female,BR,4,434,399,53,9,PG,203,88,10,351
2056,Cullen,Clinning,30/04/1981,Male,GT,6,431,179,462,5,SF,205,60,23,5207
2057,Gates,Syder,02/04/1970,Female,BA,22,35,332,12,2,C,201,85,12,5683
2058,Greta,Giabucci,22/03/1963,Female,TL,19,876,79,290,8,PG,208,83,30,19646
2059,Allyn,Verralls,16/03/1989,Male,CN,33,254,197,339,2,SF,202,79,39,16072
2060,Carlotta,Klugel,23/02/1975,Female,MX,33,83,457,362,5,SF,208,90,8,10184
2061,Faustina,Fellgatt,03/10/1973,Genderqueer,KW,24,263,224,24,4,PF,197,86,20,8351
2062,Marcelia,Foxwell,05/05/1984,Female,SE,37,992,380,312,2,SF,200,66,32,12913
2063,Tabb,Dallaghan,25/12/1985,Male,FI,26,633,371,205,7,SG,192,77,22,1143
2064,Read,Touret,11/11/1981,Non-binary,CN,15,333,237,378,6,SF,192,60,3,5518
2065,Issi,Ewin,17/08/1985,Female,PL,18,801,164,152,1,C,195,71,20,4615
2066,Sigvard,Antrobus,03/05/1981,Male,PL,7,359,220,475,8,SG,189,62,13,365
2067,Ive,Bewly,05/08/1971,Male,PT,23,370,106,6,2,PF,187,89,9,19974
2068,Morgun,Houseley,27/09/1981,Male,NO,3,10,207,339,10,PF,195,65,37,3483
2069,Mellicent,Fellgett,11/05/1967,Female,CN,10,471,81,468,5,SG,200,75,33,15651
2070,Graeme,Ebi,27/10/1981,Male,CN,38,508,351,302,1,PF,189,86,32,11834
2071,Caril,Fancutt,13/03/1974,Female,CN,2,687,326,317,9,SG,199,76,30,8555
2072,Miguel,Kivlehan,02/04/1983,Male,CM,13,982,64,43,4,SG,198,70,2,18818
2073,Caroline,Poupard,15/03/1960,Non-binary,GR,34,218,93,256,3,PF,194,69,11,2052
2074,Waverly,Okker,21/03/1989,Male,PL,37,263,129,130,10,SF,199,78,2,11184
2075,Olvan,Woodlands,10/07/1965,Male,PT,40,817,476,27,3,PG,201,72,10,16934
2076,Selma,MacCarter,30/01/1983,Female,CN,12,464,394,1,6,SG,185,80,39,2251
2077,Goldina,Dosdale,30/05/1979,Female,CO,31,867,315,313,8,PG,187,88,15,19147
2078,Myrta,Palmar,05/11/1961,Female,DO,5,482,244,119,9,PF,189,69,40,2594
2079,Darrelle,Fillery,23/05/1965,Female,KR,27,474,123,395,2,PF,202,86,36,3045
2080,Nolie,Ivasyushkin,21/09/1973,Female,ID,22,688,77,39,10,PF,185,84,6,12747
2081,Lula,Rzehor,02/11/1967,Female,SE,21,746,148,332,2,C,203,75,26,9256
2082,Darcy,Perroni,13/10/1974,Male,UA,37,869,127,425,6,PG,198,69,1,11668
2083,Bertram,Bloschke,05/01/1976,Agender,CA,21,993,384,439,4,PG,185,73,30,18989
2084,Byrle,Vigne,05/01/1968,Male,PL,30,515,208,131,2,PF,191,83,10,1835
2085,Engelbert,Cranmere,01/01/1987,Male,BR,1,833,301,20,9,SF,207,76,40,5069
2086,Ronnie,Heinonen,24/11/1975,Female,ID,3,760,257,147,3,PG,197,65,16,18451
2087,Barny,MacAlinden,28/05/1962,Male,CN,18,365,237,368,1,SG,210,87,9,9765
2088,Inez,MacMakin,19/02/1976,Female,CN,20,558,344,429,7,PG,204,67,13,12826
2089,Ximenez,Cubbit,31/10/1982,Male,PL,20,780,301,248,4,SF,192,63,27,621
2090,Cherice,Heisler,23/01/1961,Genderfluid,PT,39,146,60,233,5,SF,188,63,22,12910
2091,Fletch,Alban,27/11/1985,Male,HR,24,104,398,159,5,PF,205,63,31,7666
2092,Trey,Khoter,08/01/1973,Male,CN,40,26,393,153,4,PG,190,69,9,18825
2093,Esma,Fuzzard,24/10/1989,Female,US,13,570,312,207,5,PF,198,71,33,15906
2094,Ronica,Crosswaite,04/12/1985,Female,AT,40,581,126,349,6,PF,189,71,17,12738
2095,Virgie,Secretan,25/09/1979,Male,ID,16,768,285,276,6,PG,192,68,9,14492
2096,Eddy,Benninger,14/10/1978,Male,CN,11,426,181,430,2,C,199,68,31,12191
2097,Katie,Bassham,04/02/1978,Female,BR,17,993,208,335,6,SG,206,83,11,3052
2098,Alonso,Pavinese,23/07/1966,Male,EC,6,826,307,336,9,PF,191,80,10,6538
2099,Auroora,Clifford,28/10/1979,Female,MX,19,732,130,239,8,PG,206,78,10,9751
2100,Rollin,Evans,01/05/1989,Male,SE,11,615,348,436,5,PG,189,75,12,5050
2101,Lucais,Gueste,30/12/1973,Male,RU,37,678,9,491,7,PG,204,83,31,16527
2102,Tyrus,Hibbart,02/12/1968,Male,MN,5,270,110,81,5,PF,192,71,15,3405
2103,Kyle,Hardan,05/09/1977,Male,JO,11,643,160,197,1,SF,194,62,2,8501
2104,Corrianne,Canadas,13/10/1984,Female,CN,23,535,408,141,8,C,185,71,9,8780
2105,Doralia,Delleschi,13/07/1973,Female,RU,7,124,334,201,10,C,201,73,1,4436
2106,Lyndsey,Bantham,22/09/1973,Female,FR,28,656,355,429,9,C,205,79,18,15376
2107,Jaye,Dennison,10/02/1966,Male,PH,37,923,378,225,7,SG,209,84,18,11575
2108,Inessa,Erangy,05/10/1987,Female,PL,9,858,433,123,6,C,196,60,12,6162
2109,Paloma,Sponton,06/02/1972,Genderqueer,CL,32,478,22,279,6,SG,189,68,27,7842
2110,Mariann,Lamzed,02/09/1965,Female,RU,5,314,99,417,6,PF,208,82,8,16623
2111,Gerik,Gillopp,31/05/1989,Male,GE,21,111,366,144,8,PF,210,64,32,18238
2112,Justinian,Bevar,05/07/1984,Male,PK,24,939,436,123,5,PG,199,67,40,12893
2113,Kris,Duffield,18/03/1987,Female,CN,34,199,104,95,6,SF,209,86,27,19003
2114,Theresa,Elford,23/06/1966,Female,ID,37,66,443,61,4,SG,187,62,3,11209
2115,Codi,Wellesley,05/11/1962,Female,BA,22,687,281,370,3,SG,194,82,35,16222
2116,Katrine,Matysiak,21/12/1985,Female,HN,9,226,409,13,3,SF,195,63,9,2435
2117,Cookie,Scritch,26/04/1967,Female,ID,30,896,418,58,5,PG,194,73,17,1100
2118,Perla,Stobie,03/09/1965,Female,MY,4,842,267,7,2,PG,199,90,37,14226
2119,Lorelei,Klimshuk,08/12/1980,Female,CN,30,174,38,500,7,PG,185,76,35,15658
2120,Webster,Cregan,07/10/1988,Male,CN,34,830,311,220,5,PG,201,87,36,14539
2121,Huntington,Dudleston,10/06/1972,Male,IR,4,642,460,340,6,C,205,85,9,8958
2122,Nils,Devorill,14/12/1971,Male,ID,14,421,86,94,3,C,185,88,7,19532
2123,Carny,Teideman,16/04/1964,Male,ID,8,804,197,37,10,C,207,90,27,15623
2124,Geoff,Hargey,29/07/1981,Polygender,PT,24,322,178,283,1,PG,190,90,28,8823
2125,Belia,Myrick,13/06/1968,Genderfluid,CN,23,290,35,269,7,SF,208,60,28,234
2126,Giusto,Pankhurst.,07/02/1975,Male,CN,17,677,399,276,6,SF,191,76,14,792
2127,Pat,Soule,29/04/1962,Female,MZ,12,835,409,144,6,PF,204,61,25,11428
2128,Sheilakathryn,Oldale,29/11/1962,Female,UA,32,286,357,43,3,PF,202,75,11,541
2129,Dilan,Jurgen,13/06/1969,Male,CN,14,502,94,176,10,PG,188,62,30,17694
2130,Myer,Tillett,19/02/1989,Male,RU,34,784,255,51,1,PF,195,79,14,13891
2131,Cecilio,Duplain,04/02/1988,Male,CN,35,157,197,435,5,SG,196,82,19,11088
2132,Raymond,Aronov,25/07/1979,Male,BJ,9,918,144,224,8,C,203,69,23,9376
2133,Allina,Oneal,31/08/1987,Female,RU,36,475,369,20,10,PF,193,72,7,7569
2134,Timothea,Kitcher,29/08/1971,Female,RU,13,65,169,417,2,PG,203,65,37,10818
2135,Eustace,Cole,04/01/1980,Genderfluid,CN,36,472,479,233,3,PG,194,69,14,12172
2136,Teresa,MacParlan,18/09/1967,Female,CZ,36,148,88,13,8,PG,206,85,30,8135
2137,Francoise,Giacomoni,27/06/1975,Female,CY,31,944,369,361,10,C,189,76,20,4031
2138,Charlena,Montacute,11/06/1987,Female,JP,39,875,374,380,4,PF,202,67,12,3585
2139,Monah,O'Halleghane,14/05/1969,Genderfluid,TD,18,211,354,181,10,C,202,90,7,1858
2140,Reuven,Goldstone,27/05/1980,Male,PE,2,359,413,208,8,SG,205,63,15,6401
2141,Dorolisa,Raylton,01/10/1975,Female,CN,29,58,79,45,7,SF,186,71,27,16384
2142,Emory,Schuck,26/03/1976,Male,RU,21,560,33,29,1,PF,203,66,4,12258
2143,Jarad,Benoiton,12/08/1981,Polygender,PH,31,577,60,478,10,SF,185,81,9,19028
2144,Scot,Willson,11/09/1961,Male,CO,33,787,124,101,2,SF,197,66,23,2648
2145,Gary,Filipic,11/11/1977,Male,PL,22,150,488,190,1,PF,199,76,35,16910
2146,Felisha,Saffle,03/06/1963,Female,ID,33,955,233,175,6,SF,191,62,32,17526
2147,Frankie,Arnholz,26/09/1973,Male,UA,22,900,233,356,10,SG,196,71,2,18908
2148,Marje,Shropshire,12/06/1965,Female,PH,11,256,393,487,3,SF,185,79,9,8355
2149,Robbyn,Jansen,11/11/1977,Female,ID,16,323,330,79,3,SF,188,81,7,11728
2150,Eachelle,Gavini,05/10/1962,Polygender,HR,31,972,250,240,3,C,201,76,6,19079
2151,Octavius,Drinkale,03/10/1962,Male,NL,24,465,244,81,6,C,187,89,3,593
2152,Eberhard,Hardes,08/03/1972,Male,TH,14,182,385,312,9,SF,187,78,18,12414
2153,Ariela,Blyden,28/12/1977,Female,CN,32,818,13,212,2,SG,198,85,39,264
2154,Elvina,Turbard,14/01/1974,Female,PL,39,22,206,303,5,PG,203,81,28,2667
2155,Benedikta,Adamec,21/12/1965,Female,UA,17,238,402,29,9,SG,192,64,37,9797
2156,Early,Mandell,14/12/1964,Male,BR,25,78,7,223,3,SG,186,80,9,430
2157,Ardene,Folger,28/05/1963,Female,CN,19,502,497,371,10,C,203,61,30,19822
2158,Witty,Coston,14/12/1965,Male,BR,1,481,333,485,9,C,196,82,6,7566
2159,Gwenore,Guy,04/06/1970,Female,CN,27,793,248,81,6,SG,192,78,40,18680
2160,Lucian,Lecount,19/07/1983,Male,CN,27,28,129,234,4,C,197,79,23,14882
2161,Nady,Yarnold,02/07/1983,Female,GM,17,727,354,144,2,SG,207,82,35,15794
2162,Roxine,Hitter,25/05/1973,Female,ID,6,477,263,152,7,SF,203,84,3,17039
2163,Glen,Josebury,22/11/1972,Male,BI,39,964,247,80,6,C,209,72,35,11833
2164,Carina,Storry,31/05/1974,Female,ZA,14,72,364,83,6,PF,202,62,19,413
2165,Ania,Wittey,11/08/1987,Female,MX,39,669,255,463,7,PF,200,73,32,2667
2166,Raffaello,Arniz,11/03/1987,Male,CN,28,644,246,359,1,SG,201,64,32,729
2167,Oliy,Callington,14/05/1962,Female,PE,25,663,13,220,7,C,207,79,22,12382
2168,Deane,Shoreson,04/12/1969,Female,CN,33,730,309,52,10,SF,191,87,22,19404
2169,Isador,Gingel,01/11/1981,Male,US,24,938,289,244,5,SF,202,82,6,13057
2170,Anne-corinne,Vella,22/01/1985,Female,JP,38,528,170,6,5,SF,208,76,21,6314
2171,Carey,Wogden,24/10/1964,Female,RS,23,702,139,373,2,C,196,89,12,8746
2172,Rodney,Sabine,20/10/1973,Agender,PH,19,673,126,12,6,SG,186,84,27,10915
2173,Lorrayne,Tullett,15/06/1968,Female,GT,24,1,172,482,8,SF,210,62,4,4439
2174,Tresa,Fenty,27/11/1973,Polygender,CN,13,824,93,148,1,PF,206,60,6,1425
2175,Sacha,Blakemore,09/01/1979,Female,RS,26,151,425,30,9,PG,198,64,1,1266
2176,Jenilee,Jones,10/06/1967,Female,FR,13,299,252,486,6,SF,200,63,40,11768
2177,Karmen,Lusk,04/05/1961,Female,RU,35,813,447,11,3,SF,204,76,5,7040
2178,Wald,Mizzen,05/10/1966,Male,LA,3,291,385,220,7,C,191,61,9,18980
2179,Carmelle,Wimbridge,19/04/1961,Female,SI,12,889,465,219,2,PF,188,86,24,15874
2180,Mattias,Bernuzzi,30/10/1976,Non-binary,CN,38,441,54,10,2,PF,191,78,26,2023
2181,Abey,Algar,30/12/1987,Male,BR,16,395,328,434,5,SF,188,90,26,8783
2182,Magdalena,Geggie,02/08/1985,Female,RU,19,191,396,5,5,C,203,60,34,10271
2183,Nerissa,Rugge,11/03/1983,Agender,AR,26,999,481,29,8,C,208,86,8,2907
2184,Gilemette,Hyndson,09/02/1988,Non-binary,PS,8,748,239,181,4,PG,209,70,37,272
2185,Boycey,O' Dooley,29/04/1984,Male,AL,1,331,49,452,10,SG,209,86,12,7778
2186,Ganny,Tanfield,09/09/1968,Male,SE,38,729,249,235,2,SF,186,78,13,19196
2187,Aldric,Guinn,04/03/1971,Male,ID,9,553,223,58,4,SF,188,89,25,16816
2188,Skipton,Hubatsch,29/10/1961,Male,PT,38,993,239,252,7,PF,209,70,4,14820
2189,Gabriel,Tretwell,29/09/1983,Female,BY,7,519,101,46,9,SF,206,76,32,7587
2190,Abbye,Hawkey,05/11/1970,Female,IQ,29,556,145,100,10,C,185,65,35,10122
2191,Gabi,Fillery,30/01/1984,Male,VE,12,469,431,36,6,PG,199,81,21,14469
2192,Say,Tute,23/07/1962,Male,ID,37,472,198,338,10,PG,197,88,1,461
2193,Elicia,Kilbee,12/10/1989,Female,US,3,332,342,494,9,SF,193,72,23,12018
2194,Livia,Bryett,02/07/1976,Female,IR,3,561,457,128,4,PF,195,83,13,6206
2195,Cherry,Toffts,27/04/1962,Female,CN,12,994,173,94,8,PG,205,66,31,17523
2196,Ophelia,Shovell,10/01/1967,Genderfluid,PL,22,420,368,198,2,SF,204,73,11,4600
2197,Pennie,Jeannin,19/12/1970,Male,PS,38,481,101,244,1,SF,191,74,7,12817
